occasion,section,date,time,tag_id,tag_id2,duplicate,ghost_tag
1,12,01/12/2022,13:57:48.000,900.226001167731,ID900.226001167731,Yes,No
1,12,01/12/2022,13:57:57.000,900.226001698996,ID900.226001698996,No,No
1,12,01/12/2022,13:57:58.000,900.226001167887,ID900.226001167887,Yes,Yes
1,12,01/12/2022,13:58:01.000,900.226001698901,ID900.226001698901,No,No
1,12,01/12/2022,13:58:04.000,900.226001167731,ID900.226001167731,Yes,Yes
1,12,01/12/2022,13:58:09.000,900.226001167887,ID900.226001167887,Yes,No
1,12,01/12/2022,13:58:12.000,900.226001697368,ID900.226001697368,No,No
1,12,01/12/2022,13:58:13.000,900.226001698901,ID900.226001698901,Yes,Yes
1,12,01/12/2022,13:58:24.000,900.226001167731,ID900.226001167731,Yes,Yes
1,12,01/12/2022,13:58:25.000,900.226001167887,ID900.226001167887,Yes,No
1,12,01/12/2022,13:58:27.000,900.226001698901,ID900.226001698901,Yes,Yes
1,12,01/12/2022,13:58:34.000,900.226001167731,ID900.226001167731,Yes,Yes
1,12,01/12/2022,13:58:40.000,900.226001167887,ID900.226001167887,Yes,Yes
1,12,01/12/2022,13:58:47.000,900.226001698965,ID900.226001698965,No,No
1,12,01/12/2022,13:59:16.000,900.226001697230,ID900.226001697230,Yes,Yes
1,12,01/12/2022,13:59:27.000,900.226001697230,ID900.226001697230,Yes,Yes
1,12,01/12/2022,13:59:49.000,900.226001698996,ID900.226001698996,Yes,No
1,12,01/12/2022,14:00:07.000,900.226001697226,ID900.226001697226,No,Yes
1,12,01/12/2022,14:00:23.000,900.226001697226,ID900.226001697226,Yes,Yes
1,12,01/12/2022,14:00:28.000,900.226001697221,ID900.226001697221,No,No
1,12,01/12/2022,14:00:37.000,900.226001697226,ID900.226001697226,Yes,Yes
1,12,01/12/2022,14:00:47.000,900.226001697544,ID900.226001697544,No,No
1,12,01/12/2022,14:00:56.000,900.226001697468,ID900.226001697468,No,Yes
1,12,01/12/2022,14:01:22.000,900.226001697468,ID900.226001697468,Yes,Yes
1,12,01/12/2022,14:01:38.000,900.226001697468,ID900.226001697468,Yes,Yes
1,12,01/12/2022,14:01:55.000,900.226001698985,ID900.226001698985,No,Yes
1,12,01/12/2022,14:02:06.000,900.226001698985,ID900.226001698985,Yes,Yes
1,12,01/12/2022,14:02:21.000,900.226001698136,ID900.226001698136,No,Yes
1,12,01/12/2022,14:02:32.000,900.226001698136,ID900.226001698136,Yes,Yes
1,12,01/12/2022,14:02:43.000,900.226001698136,ID900.226001698136,Yes,Yes
1,13,01/12/2022,14:03:00.000,989.002009085551,ID989.002009085551,Yes,Yes
1,13,01/12/2022,14:03:17.000,900.226001698975,ID900.226001698975,No,Yes
1,13,01/12/2022,14:03:33.000,900.226001698975,ID900.226001698975,Yes,Yes
1,13,01/12/2022,14:03:58.000,900.226001698930,ID900.226001698930,No,No
1,13,01/12/2022,14:05:31.000,900.226001698940,ID900.226001698940,No,Yes
1,13,01/12/2022,14:05:47.000,900.226001698940,ID900.226001698940,Yes,Yes
1,13,01/12/2022,14:05:58.000,900.226001698940,ID900.226001698940,Yes,Yes
1,13,01/12/2022,14:06:02.000,900.226001698997,ID900.226001698997,No,No
1,13,01/12/2022,14:06:23.000,900.226001698565,ID900.226001698565,No,Yes
1,13,01/12/2022,14:06:34.000,900.226001698565,ID900.226001698565,Yes,Yes
1,13,01/12/2022,14:06:59.000,900.226001697211,ID900.226001697211,No,No
1,14,01/12/2022,14:07:14.000,989.002009085551,ID989.002009085551,Yes,Yes
1,14,01/12/2022,14:07:29.000,900.226001697513,ID900.226001697513,No,No
1,14,01/12/2022,14:08:09.000,900.226001697533,ID900.226001697533,No,No
1,14,01/12/2022,14:08:33.000,900.226001697533,ID900.226001697533,Yes,No
1,14,01/12/2022,14:08:48.000,900.226001697533,ID900.226001697533,Yes,No
1,14,01/12/2022,14:09:57.000,900.226001698365,ID900.226001698365,No,No
